model,training_size,sensitivity,distribution,solver,step_size,hamiltonian_error,reversibility_error,time,ess
HMC,1.0,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00054277 -0.00296637 -0.0018639  -0.0007339  -0.00146713 -0.00453522],6.8315194e-11,0.8354296684265137,14.642331333419065
NNgHMC,1.0,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00054277 -0.00574983 -0.02135198 -0.04994148 -0.09493371 -0.16899638],1.3776018e-15,0.6369755268096924,21.64117675556677
NNODEgHMC,1.0,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00054277 -0.00571061 -0.02100368 -0.04885799 -0.09173809 -0.16053112],1.5708176e-13,0.5089457035064697,20.0
Explicit NNODEgHMC,1.0,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00054277 -0.00520645 -0.01833997 -0.04233378 -0.07708914 -0.11771059],1.6462851e-13,0.6124625205993652,2.0886516593177067
SymplecticNNgHMC,1.0,autograd,gp_regression,SynchronousLeapfrog,0.05,"[-5.4276548e-04 -1.1708519e-02 -5.4818284e-02 -1.4567482e-01
 -3.1461182e-01 -6.2155563e-01]",0.6251096,0.7071764469146729,20.0
GSymplecticNNgHMC,1.0,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00054277 -0.00332809 -0.01407925 -0.03587814 -0.07003287 -0.11631825],0.50049704,0.4430687427520752,20.0
GradSymplecticNNgHMC,1.0,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00054277 -0.01117526 -0.04996092 -0.12928565 -0.27070737 -0.5165027 ],0.59600616,1.1650505065917969,20.0
GradGSymplecticNNgHMC,1.0,autograd,gp_regression,SynchronousLeapfrog,0.05,[-0.00054277 -0.00344645 -0.01452551 -0.03689447 -0.07188334 -0.11924402],0.48344642,0.5313332080841064,20.0
