distribution,model,hamiltonian_error_clean,step_size
high_dimensional_gaussian,NNgHMC,0.00293539,0.1
high_dimensional_gaussian,NNgHMC,0.00487841,0.1
high_dimensional_gaussian,NNgHMC,0.00493928,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.00074655,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.006492519999999999,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.02323729,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.05195386,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.08967935,0.1
high_dimensional_gaussian,NNODEgHMC,0.00074655,0.1
high_dimensional_gaussian,NNODEgHMC,0.00128675,0.1
high_dimensional_gaussian,NNODEgHMC,0.00230369,0.1
high_dimensional_gaussian,NNODEgHMC,0.00475718,0.1
high_dimensional_gaussian,NNODEgHMC,0.00573907,0.1
