distribution,model,hamiltonian_error_clean,step_size
high_dimensional_gaussian,NNODEgHMC,0.00937197,0.1
normal_normal,HMC,0.06162072,0.1
normal_normal,HMC,0.06144004,0.1
normal_normal,HMC,0.11359576,0.1
normal_normal,HMC,0.13572079,0.1
normal_normal,HMC,0.13710085,0.1
normal_normal,NNgHMC,0.06907789,0.1
normal_normal,NNgHMC,0.1587216,0.1
normal_normal,NNgHMC,0.46675795,0.1
normal_normal,NNgHMC,0.42557114,0.1
normal_normal,NNgHMC,0.71694136,0.1
normal_normal,Explicit NNODEgHMC,0.07651718,0.1
normal_normal,Explicit NNODEgHMC,0.06782465,0.1
normal_normal,Explicit NNODEgHMC,0.38468358,0.1
normal_normal,Explicit NNODEgHMC,0.4939735,0.1
normal_normal,Explicit NNODEgHMC,1.166551,0.1
normal_normal,NNODEgHMC,0.07651718,0.1
normal_normal,NNODEgHMC,0.07282192,0.1
normal_normal,NNODEgHMC,0.3799844,0.1
normal_normal,NNODEgHMC,0.3935678,0.1
normal_normal,NNODEgHMC,0.7159758,0.1
gaussian,HMC,0.01237789,0.3
gaussian,HMC,0.0666711,0.3
gaussian,HMC,0.08030687000000002,0.3
gaussian,HMC,0.0393209,0.3
gaussian,HMC,0.00390746,0.3
gaussian,NNgHMC,0.01242549,0.3
gaussian,NNgHMC,0.06665086,0.3
gaussian,NNgHMC,0.08100226,0.3
gaussian,NNgHMC,0.04080134,0.3
gaussian,NNgHMC,0.00422595,0.3
gaussian,Explicit NNODEgHMC,0.00254933,0.3
gaussian,Explicit NNODEgHMC,0.06039318,0.3
gaussian,Explicit NNODEgHMC,0.2973489,0.3
gaussian,Explicit NNODEgHMC,0.6915008,0.3
gaussian,Explicit NNODEgHMC,1.1739389,0.3
gaussian,NNODEgHMC,0.00254933,0.3
gaussian,NNODEgHMC,0.03277836,0.3
gaussian,NNODEgHMC,0.10074224,0.3
gaussian,NNODEgHMC,0.07708286000000002,0.3
gaussian,NNODEgHMC,0.013829950000000002,0.3
high_dimensional_gaussian,HMC,0.0016855400000000001,0.1
high_dimensional_gaussian,HMC,0.0033419699999999997,0.1
high_dimensional_gaussian,HMC,0.00409582,0.1
high_dimensional_gaussian,HMC,0.00509013,0.1
high_dimensional_gaussian,HMC,0.0036308,0.1
high_dimensional_gaussian,NNgHMC,0.00171395,0.1
high_dimensional_gaussian,NNgHMC,0.00346313,0.1
high_dimensional_gaussian,NNgHMC,0.00437316,0.1
high_dimensional_gaussian,NNgHMC,0.0055865,0.1
high_dimensional_gaussian,NNgHMC,0.00440497,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.00072479,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.0079996,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.025876849999999996,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.055294029999999994,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.09333543,0.1
high_dimensional_gaussian,NNODEgHMC,0.00072479,0.1
high_dimensional_gaussian,NNODEgHMC,0.00253224,0.1
high_dimensional_gaussian,NNODEgHMC,0.0039762,0.1
high_dimensional_gaussian,NNODEgHMC,0.00591484,0.1
high_dimensional_gaussian,NNODEgHMC,0.00558565,0.1
